                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93967,                0.70012,                0.95824,                0.81763,                 0.8281,                0.87455,                0.61291,                0.88107,                0.50953,                0.92584,              0.0033318,              0.0033318,              0.0033318
                      2,                0.92731,                0.56216,                0.95504,                0.81933,                0.82698,                0.87599,                0.61339,                0.87757,                0.51214,                0.93026,              0.0063352,              0.0063352,              0.0063352
                      3,                0.94461,                0.57252,                 0.9649,                0.81988,                0.81656,                0.87012,                0.60857,                0.88825,                0.52021,                0.93836,              0.0090086,              0.0090086,              0.0090086
                      4,                0.94386,                0.56767,                0.97245,                0.81973,                0.82279,                0.87765,                0.62208,                0.87646,                0.50045,                0.93415,               0.008515,               0.008515,               0.008515
                      5,                0.91891,                0.54559,                0.96622,                0.82297,                 0.8294,                0.88554,                0.62823,                 0.8612,                0.49004,                0.93492,               0.008515,               0.008515,               0.008515
                      6,                0.89941,                0.53104,                0.96232,                0.83055,                0.82618,                0.88931,                0.63785,                0.84832,                0.48114,                0.92691,                0.00802,                0.00802,                0.00802
                      7,                0.88578,                0.51843,                0.95941,                0.82555,                0.82474,                0.88966,                0.64217,                0.83603,                0.47444,                0.92751,               0.007525,               0.007525,               0.007525
                      8,                0.87171,                0.50831,                0.95808,                0.82772,                 0.8356,                0.89416,                0.64484,                0.82894,                0.46528,                0.93053,                0.00703,                0.00703,                0.00703
                      9,                0.86337,                0.49766,                0.95224,                0.82965,                0.83189,                0.89421,                 0.6495,                 0.8218,                0.46037,                 0.9278,               0.006535,               0.006535,               0.006535
                     10,                0.85379,                0.49095,                0.95029,                0.82638,                0.83642,                0.89476,                 0.6513,                0.81687,                 0.4558,                0.92564,                0.00604,                0.00604,                0.00604
                     11,                0.85935,                0.49303,                0.94856,                0.81926,                0.84075,                0.89319,                0.64878,                0.81828,                0.46464,                0.92471,               0.005545,               0.005545,               0.005545
                     12,                0.85139,                0.48613,                0.94364,                0.83138,                0.83234,                0.89653,                0.65559,                0.81108,                0.45092,                0.92361,                0.00505,                0.00505,                0.00505
                     13,                0.84347,                0.48109,                0.94056,                0.82797,                0.83705,                0.89648,                0.65739,                0.80617,                0.44912,                0.91877,               0.004555,               0.004555,               0.004555
                     14,                0.83523,                0.47419,                 0.9374,                0.83321,                0.83361,                0.89796,                0.65998,                0.80302,                0.44556,                0.91367,                0.00406,                0.00406,                0.00406
                     15,                0.82698,                0.46747,                0.93494,                0.82437,                0.84375,                0.89874,                0.66064,                0.79784,                0.44282,                0.91823,               0.003565,               0.003565,               0.003565
                     16,                 0.8174,                0.46042,                0.93287,                0.83351,                0.83684,                0.90026,                  0.663,                0.79613,                0.43979,                0.91655,                0.00307,                0.00307,                0.00307
                     17,                0.81147,                 0.4538,                0.92984,                0.83515,                0.83688,                0.90104,                0.66458,                 0.7929,                0.43723,                0.91571,               0.002575,               0.002575,               0.002575
                     18,                0.80217,                0.44696,                0.92767,                0.83062,                0.84082,                0.90019,                0.66461,                0.79199,                0.43729,                0.91657,                0.00208,                0.00208,                0.00208
                     19,                0.79282,                   0.44,                0.92402,                0.83326,                0.83963,                0.90014,                0.66522,                0.78978,                0.43468,                0.91544,               0.001585,               0.001585,               0.001585
                     20,                0.78607,                0.43385,                0.92001,                 0.8329,                0.84015,                0.90058,                0.66606,                0.78836,                 0.4339,                0.91365,                0.00109,                0.00109,                0.00109
